Date,CPI index,YOY inflation % ,Repo Rate (%)
1/1/2016,102.9009,5.905546253,6.75
2/1/2016,102.1358,5.533602066,6.75
3/1/2016,102.5183,5.511774556,6.75
4/1/2016,103.6659,5.859348035,6.5
5/1/2016,105.196,6.589098196,6.5
6/1/2016,105.9611,6.130261023,6.5
7/1/2016,107.1087,6.46384847,6.5
8/1/2016,106.3436,5.302995796,6.5
9/1/2016,105.9611,4.135295858,6.5
10/1/2016,106.3436,3.345646151,6.25
11/1/2016,105.9611,2.59257538,6.25
12/1/2016,105.196,2.230398374,6.25
1/1/2017,104.8135,1.858681508,6.25
2/1/2017,104.8135,2.621705612,6.25
3/1/2017,105.196,2.61192392,6.25
4/1/2017,105.9611,2.214035667,6.25
5/1/2017,106.3436,1.090916004,6.25
6/1/2017,107.1087,1.083038964,6.25
7/1/2017,109.0214,1.785755966,6.25
8/1/2017,109.0214,2.518064087,6
9/1/2017,109.0214,2.888135363,6
10/1/2017,109.7864,3.237430367,6
11/1/2017,110.169,3.971174327,6
12/1/2017,109.4039,4.000057036,6
1/1/2018,110.169,5.109551728,6
2/1/2018,109.7864,4.744522414,6
3/1/2018,109.7864,4.363664018,6
4/1/2018,110.169,3.971174327,6
5/1/2018,110.5515,3.956890683,6
6/1/2018,111.3165,3.928532416,6.25
7/1/2018,115.1419,5.61403541,6.25
8/1/2018,115.1419,5.61403541,6.5
9/1/2018,115.1419,5.61403541,6.5
10/1/2018,115.5244,5.226512574,6.5
11/1/2018,115.5244,4.861077072,6.5
12/1/2018,115.1419,5.244785606,6.5
1/1/2019,117.437,6.597137126,6.5
2/1/2019,117.437,6.968622707,6.25
3/1/2019,118.2021,7.665521412,6.25
4/1/2019,119.3497,8.333287949,6
5/1/2019,120.1148,8.650538437,6
6/1/2019,120.8798,8.591089371,5.75
7/1/2019,122.0274,5.980012489,5.75
8/1/2019,122.4099,6.31221128,5.4
9/1/2019,123.175,6.976695712,5.4
10/1/2019,124.3226,7.615880282,5.4
11/1/2019,125.4702,8.609263498,5.15
12/1/2019,126.2353,9.63454659,5.15
1/1/2020,126.2353,7.491931844,5.15
2/1/2020,125.4702,6.840433594,5.15
3/1/2020,124.7051,5.501594303,4.4
4/1/2020,125.8527,5.448694048,4.4
5/1/2020,126.2353,5.095541932,4
6/1/2020,127.0003,5.063294281,4
7/1/2020,128.5304,5.329130998,4
8/1/2020,129.2955,5.62503523,4
9/1/2020,130.1179,5.636614573,4
10/1/2020,131.6603,5.902144904,4
11/1/2020,132.101,5.284760844,4
12/1/2020,130.8891,3.68660747,4
1/1/2021,130.228,3.162902928,4
2/1/2021,131.1094,4.494453663,4
3/1/2021,131.7705,5.665686488,4
4/1/2021,132.3214,5.139897674,4
5/1/2021,132.8723,5.25764188,4
6/1/2021,134.0842,5.57786084,4
7/1/2021,135.2961,5.263890877,4
8/1/2021,135.5165,4.811459022,4
9/1/2021,135.847,4.403006812,4
10/1/2021,137.6098,4.5188261,4
11/1/2021,138.4912,4.837359293,4
12/1/2021,138.1607,5.555542822,4
1/1/2022,137.8302,5.837607888,4
2/1/2022,137.72,5.042048854,4
3/1/2022,138.8218,5.351197726,4
4/1/2022,140.6947,6.328001366,4
5/1/2022,142.127,6.965108604,4.4
6/1/2022,142.3474,6.162694784,4.9
7/1/2022,143.1186,5.781763111,4.9
8/1/2022,143.4492,5.853678334,5.4
9/1/2022,144.6611,6.488255169,5.4
10/1/2022,145.9832,6.084886396,5.9
11/1/2022,145.9832,5.409730005,5.9
12/1/2022,145.7628,5.502360657,6.25
1/1/2023,146.3137,6.15503714,6.25
2/1/2023,146.2036,6.160034853,6.5
3/1/2023,146.8646,5.793614548,6.5
4/1/2023,147.8562,5.090099343,6.5
5/1/2023,148.4071,4.418653739,6.5
6/1/2023,150.2801,5.572774775,6.5
7/1/2023,153.9159,7.544302418,6.5
8/1/2023,153.365,6.912412199,6.5
9/1/2023,151.492,4.722001976,6.5
10/1/2023,152.4836,4.452841149,6.5
11/1/2023,153.2548,4.981121115,6.5
12/1/2023,152.9243,4.913119122,6.5
1/1/2024,153.0345,4.593418115,6.5
2/1/2024,153.365,4.8982378,6.5
3/1/2024,153.0345,4.201080451,6.5
4/1/2024,153.5853,3.874778332,6.5
5/1/2024,154.1362,3.860394819,6.5
6/1/2024,155.7889,3.665688271,6.5
7/1/2024,157.2212,2.147471444,6.5
8/1/2024,157.111,2.442539041,6.5
9/1/2024,157.8822,4.218176537,6.5
10/1/2024,159.2043,4.407490379,6.5
11/1/2024,159.2043,3.882097004,6.5
12/1/2024,158.3229,3.530243395,6.5
